Industry,,Symbol,Industry,Market Cap
Automobiles,104,RIVN,Automobiles,15.32B
Communication Equipment,418,MITQ,Communication Equipment,12.27M
Electrical Equipment & Parts,736,EPOW,Electrical Equipment & Parts,69.66M
Health Care Providers & Services,584,ALHC,Health Care Providers & Services,2.17B
Instruments & Components,505,PAY,Instruments & Components,1.01B
Leisure Products,640,HAYW,Leisure Products,2.10B
Mortgage Finance,721,LDI,Mortgage Finance,537.43M
REIT-Retail,400,PECO,REIT-Retail,4.16B
Software,595,SEMR,Software,1.14B
Steel,790,HUDI,Steel,67.64M
