Industry,,Symbol,Industry,Market Cap
Advertising Agencies,354,SWAG,Advertising Agencies,25.24M
Aerospace & Defense,129,CDRE,Aerospace & Defense,747.77M
Airlines,576,ULCC,Airlines,2.20B
Apparel Manufacturing,501,FIGS,Apparel Manufacturing,1.20B
Apparel Retail,520,DBGI,Apparel Retail,6.03M
Asset Management,786,PAX,Asset Management,2.04B
Auto & Truck Dealerships,517,JZXN,Auto & Truck Dealerships,3.11M
Auto Manufacturers,87,SEV,Auto Manufacturers,87.33M
Automobiles,104,RIVN,Automobiles,15.32B
Banks-Diversified,37,NU,Banks-Diversified,16.68B
Banks-Regional,75,FINW,Banks-Regional,115.65M
Beverages-Non-Alcoholic,377,ZVIA,Beverages-Non-Alcoholic,267.80M
Beverages-Wineries & Distilleries,26,VINE,Beverages-Wineries & Distilleries,12.48M
Biotechnology,716,DBTX,Biotechnology,51.80M
Blank Check / SPAC,142,TRAQ,Blank Check / SPAC,530.44M
Building Products & Equipment,547,SWIM,Building Products & Equipment,400.55M
Capital Markets,269,ARBK,Capital Markets,50.17M
Communication Equipment,418,MITQ,Communication Equipment,12.27M
Computer Hardware,592,CRCT,Computer Hardware,2.14B
Consulting Services,528,BWMN,Consulting Services,277.14M
Consumer Electronics,575,UTME,Consumer Electronics,7.69M
Credit Services,415,SNTG,Credit Services,5.24M
Diagnostics & Research,139,MDXH,Diagnostics & Research,108.02M
Diversified Consumer Services,599,EEIQ,Diversified Consumer Services,28.79M
Drug Manufacturers-Specialty & Generic,127,EVO,Drug Manufacturers-Specialty & Generic,2.95B
Education & Training Services,580,COUR,Education & Training Services,1.81B
Electrical Equipment & Parts,736,EPOW,Electrical Equipment & Parts,69.66M
Electronic Gaming & Multimedia,302,DDI,Electronic Gaming & Multimedia,405.35M
Electronics & Computer Distribution,358,SNPO,Electronics & Computer Distribution,564.24M
Entertainment,541,EDR,Entertainment,6.14B
Farm Products,417,AGRI,Farm Products,17.13M
Fixtures & Appliances,351,COOK,Fixtures & Appliances,320.03M
Footwear & Accessories,278,ONON,Footwear & Accessories,5.39B
Gambling,564,EBET,Gambling,9.25M
Grocery Stores,451,MF,Grocery Stores,12.89M
Health Care Providers & Services,584,ALHC,Health Care Providers & Services,2.17B
Health Information Services,545,AGTI,Health Information Services,2.25B
Healthcare Plans,679,OSCR,Healthcare Plans,528.30M
Home Improvement Retail,128,ARHS,Home Improvement Retail,1.35B
Household & Personal Products,536,HNST,Household & Personal Products,270.60M
Household Durables,594,VZIO,Household Durables,1.42B
IT Services,803,AFRM,IT Services,2.64B
Industrial Distribution,365,CNM,Industrial Distribution,4.80B
